b a g i0
3.964912156333871285e-01 2.466645569184009190e+01 2.500000000000000000e-01 2.062925891995707861e+00
3.958713771002263515e-01 2.979067825893542576e+01 2.500000000000000000e-01 2.072615435969541231e+00
3.975007035694188007e-01 4.811958544552479111e+01 2.500000000000000000e-01 2.022308947841204407e+00
3.977577548887260006e-01 5.918547607783078490e+01 2.500000000000000000e-01 2.017964264748411729e+00
3.963400010372737370e-01 6.304028362881766867e+01 2.500000000000000000e-01 2.060801878368161422e+00
3.946438291220554784e-01 7.501327224391201298e+01 2.500000000000000000e-01 2.131894186142794023e+00
3.965654331703312718e-01 8.610916636810343050e+01 2.500000000000000000e-01 2.049607881929158104e+00
3.963059434344023968e-01 9.247060484776353562e+00 2.500000000000000000e-01 2.068992031661620157e+00
3.936673190637420272e-01 3.190658791614030676e+01 2.500000000000000000e-01 2.158758273977106068e+00
3.969973928290310705e-01 7.533321391413379331e+01 2.500000000000000000e-01 2.031163623613126301e+00
3.942996920115092174e-01 9.697130894832140768e+01 2.500000000000000000e-01 2.141260350837101090e+00
3.994420411035125573e-01 6.049838392937337517e+01 2.500000000000000000e-01 1.948710874323800191e+00
3.956582951603241360e-01 8.104955228415671797e+01 2.500000000000000000e-01 2.085513250480064418e+00
3.969856201953199104e-01 2.369632644662170051e+01 2.500000000000000000e-01 2.046731025025143147e+00
3.967061238632675346e-01 7.978601301917953492e+01 2.500000000000000000e-01 2.057916161693758461e+00
3.960336721049918518e-01 8.269566447942585796e+01 2.500000000000000000e-01 2.078948743322722947e+00
3.962487820363093105e-01 2.713198690033889360e+00 2.500000000000000000e-01 2.071210964790842546e+00
3.960193705668715314e-01 6.857010415240796419e+01 2.500000000000000000e-01 2.076850264449299655e+00
3.962297854734992408e-01 4.788103372519023537e+01 2.500000000000000000e-01 2.070130365854766286e+00
3.972587328489809999e-01 1.323712194500872030e+01 2.500000000000000000e-01 2.024081109591892247e+00
3.961958764475405070e-01 4.204049849362772306e+01 2.500000000000000000e-01 2.073327106244474027e+00
3.961070798757119760e-01 3.458057381807128650e+01 2.500000000000000000e-01 2.068498688254286400e+00
3.958616636899613961e-01 5.092499516478022059e+01 2.500000000000000000e-01 2.084529922982567562e+00
3.975052221980160949e-01 4.134287700083856265e+01 2.500000000000000000e-01 2.024181380614290315e+00
3.959475107271180350e-01 1.994058338077383397e+01 2.500000000000000000e-01 2.075965252578814368e+00
3.971451380820040788e-01 7.375721323900830839e+01 2.500000000000000000e-01 2.033100651957918892e+00
3.961487768092667450e-01 4.605409443056239382e+01 2.500000000000000000e-01 2.071490035345806113e+00
3.966084812191933429e-01 5.685921400247044488e+01 2.500000000000000000e-01 2.076182743061815383e+00
3.976191215886092367e-01 1.868604815180989576e+01 2.500000000000000000e-01 2.017553675927348689e+00
3.964367779777026035e-01 3.190065767352542281e+01 2.500000000000000000e-01 2.071218918974497392e+00
3.959248777685415166e-01 6.309082485098703330e+01 2.500000000000000000e-01 2.088291685404110254e+00
3.940735323868023166e-01 4.092535133216549070e+01 2.500000000000000000e-01 2.158624578872031297e+00
3.948757403964084922e-01 4.916188056109812266e+01 2.500000000000000000e-01 2.124592604411957186e+00
3.961160539046220119e-01 8.817495320324499630e+01 2.500000000000000000e-01 2.072608418135605923e+00
3.964111394047438730e-01 2.832553821786072845e+01 2.500000000000000000e-01 2.066754951530778150e+00
3.973314112781931029e-01 8.754155701381037602e+01 2.500000000000000000e-01 2.035994574928869927e+00
3.979864748294004162e-01 3.811622617218171882e+01 2.500000000000000000e-01 2.010685062953070812e+00
3.958797450712718269e-01 1.143304813643678131e+01 2.500000000000000000e-01 2.089748690393666841e+00
3.951650215343686101e-01 3.580975289341203194e+01 2.500000000000000000e-01 2.110631816413510276e+00
3.964063325251632741e-01 2.885848320207633577e+01 2.500000000000000000e-01 2.066466008993127712e+00
3.972040574419583026e-01 5.369109879425626985e+01 2.500000000000000000e-01 2.032263568755046990e+00
3.942415596899862540e-01 2.321091123948766821e+01 2.500000000000000000e-01 2.146186174684117987e+00
3.951687297109108266e-01 8.163027802674091049e+01 2.500000000000000000e-01 2.109141464452464199e+00
3.958945619469443900e-01 1.983593497774730707e+01 2.500000000000000000e-01 2.081921162490830479e+00
3.963892184422703746e-01 3.707191407772462810e+01 2.500000000000000000e-01 2.068341936331306474e+00
3.964089326341459496e-01 7.973244804179202561e+01 2.500000000000000000e-01 2.070588882866593039e+00
3.962012553740464904e-01 7.653115683082523546e+00 2.500000000000000000e-01 2.081772481276551900e+00
3.950151667827293545e-01 1.990432603252193999e+01 2.500000000000000000e-01 2.116350882374167242e+00
3.963336386812027490e-01 7.838422252456238937e+01 2.500000000000000000e-01 2.063054043951467520e+00
3.943152673163095590e-01 7.126141725420535522e+01 2.500000000000000000e-01 2.141886081648628704e+00
3.966840910475373794e-01 4.566132024426908487e+01 2.500000000000000000e-01 2.053367512763284441e+00
3.972663231839054232e-01 3.077739416556940810e+01 2.500000000000000000e-01 2.027906451088306472e+00
3.982700666331378536e-01 3.483588484516754136e+01 2.500000000000000000e-01 1.997991719204760042e+00
3.973109718740595597e-01 3.639172731183692377e+01 2.500000000000000000e-01 2.033946395236716054e+00
3.962794861587530248e-01 9.680972467166627382e+01 2.500000000000000000e-01 2.074121637307665189e+00
3.984522049384223719e-01 1.206295641877254532e+01 2.500000000000000000e-01 1.981678551859411996e+00
3.975048598129149457e-01 7.357478182761001051e+01 2.500000000000000000e-01 2.019005640944874891e+00
3.959805678085095981e-01 1.797552253286956869e+01 2.500000000000000000e-01 2.084494957070601284e+00
3.958431822622248686e-01 1.552972655090188780e+01 2.500000000000000000e-01 2.097031094586082389e+00
3.976420225257447094e-01 1.175073725896942634e+01 2.500000000000000000e-01 2.009567964372968252e+00
3.965243358612710600e-01 7.019726917138696365e+01 2.500000000000000000e-01 2.053947622788918626e+00
3.950072345108963101e-01 2.929852141091206619e+01 2.500000000000000000e-01 2.119869989359294049e+00
3.960844864906800100e-01 6.302685032468571791e+01 2.500000000000000000e-01 2.072030178602487283e+00
3.959669516863407734e-01 7.316949634902360344e+01 2.500000000000000000e-01 2.075594499166848461e+00
3.978375885955485747e-01 7.325374458026718116e+01 2.500000000000000000e-01 2.014005224392412252e+00
3.953097231028229741e-01 1.790423480846297988e+00 2.500000000000000000e-01 2.109543727453796702e+00
3.948848471661467463e-01 1.778697064498657809e+01 2.500000000000000000e-01 2.134781081678878589e+00
3.946568132740057022e-01 8.658312362968092657e+01 2.500000000000000000e-01 2.127719468553170401e+00
3.956146351101848535e-01 7.171820864895603620e+01 2.500000000000000000e-01 2.090770589827992687e+00
3.954064234448501081e-01 1.446295154536232275e+01 2.500000000000000000e-01 2.089375660845767424e+00
3.966005406886425333e-01 7.954031919834032749e+01 2.500000000000000000e-01 2.044868505954635651e+00
3.974554328188968921e-01 5.961042482535912512e+01 2.500000000000000000e-01 2.029717379983173142e+00
3.958436277559927996e-01 4.574611165052696293e+01 2.500000000000000000e-01 2.090169035438748324e+00
3.975601751862766209e-01 5.952050320866926114e+01 2.500000000000000000e-01 2.023508038424812749e+00
3.949581596229603253e-01 6.383319589687266671e+01 2.500000000000000000e-01 2.121812862648257525e+00
3.952030024932899344e-01 8.093657865503502080e+01 2.500000000000000000e-01 2.103689958488327516e+00
3.972012239744712736e-01 9.725722754403375347e+01 2.500000000000000000e-01 2.034355400076950815e+00
3.960576123274803240e-01 8.286688896459688181e+01 2.500000000000000000e-01 2.071965455144040735e+00
3.973314112781931029e-01 8.754155701381037602e+01 2.500000000000000000e-01 2.035994574928869927e+00
3.958616636899613961e-01 5.092499516478022059e+01 2.500000000000000000e-01 2.084529922982567562e+00
