weight logl b a g i0
0.000000000000000000e+00 -2.999289697687902500e+14 7.492520749418078996e-01 1.162921945186068395e-01 2.396797208621794795e-01 5.349938087120945651e-01
0.000000000000000000e+00 -2.973401696941380000e+14 8.370566046594450915e-01 1.689228811290410803e-01 2.799368142711822216e-01 8.533264205322570461e-01
0.000000000000000000e+00 -2.937825618595665000e+14 5.628969448282884480e-01 2.756455604443908136e-02 9.356710166266294371e-01 5.980670808230443836e-01
0.000000000000000000e+00 -2.921947294901298125e+14 6.803526119313785259e-01 9.311330878723367288e-02 2.604214691298890605e-01 9.173633145395336808e-01
0.000000000000000000e+00 -2.874613183152934375e+14 9.770578407356997896e-01 2.419312621877658387e-01 8.873800833553828760e-01 5.553486595765335654e-01
0.000000000000000000e+00 -2.782741606432172500e+14 8.081475543604987877e-01 1.605518872054791935e-01 1.357439976339159804e-01 5.988548064772952761e-01
0.000000000000000000e+00 -2.611941244218887500e+14 6.379080613979372094e-01 6.626313315701615192e-02 6.007205220265593448e-01 2.825843807412240505e-01
0.000000000000000000e+00 -2.603919177306148438e+14 9.455850942730519293e-01 2.495979673313641900e-01 5.889546432617218663e-01 5.616299213847085747e-01
0.000000000000000000e+00 -2.508356625102268125e+14 9.831569411258526126e-01 2.813667780229509585e-01 6.015292865855337290e-01 5.694357514247578855e-01
0.000000000000000000e+00 -2.388421707528738750e+14 8.588933299084992035e-01 2.103388422343196451e-01 1.894195710093549145e-02 3.494435174820876844e-01
0.000000000000000000e+00 -2.241566145914420312e+14 8.814714289445673145e-01 2.399789691252572910e-01 8.504678709052815311e-02 3.772225987016539772e-01
0.000000000000000000e+00 -2.057578107297321875e+14 7.117394772840032191e-01 1.593150430506707904e-01 4.241939960459715220e-01 7.623590708286096529e-01
0.000000000000000000e+00 -1.919957590616332500e+14 9.630569310769108160e-01 3.575075360980479733e-01 4.535706949229014739e-01 9.803183730550938391e-01
0.000000000000000000e+00 -1.839519286801169688e+14 7.951338484274536045e-01 2.385200101446013354e-01 5.782438834270503536e-01 7.035729530392274000e-01
0.000000000000000000e+00 -1.765568306663425938e+14 7.683480209713325904e-01 2.231098875979837803e-01 4.522568547659300275e-02 5.799002336636088772e-01
0.000000000000000000e+00 -1.756583390943975000e+14 6.566587849155189893e-01 1.499713254075403235e-01 2.826696048844371534e-01 9.562700612203499650e-01
0.000000000000000000e+00 -1.755125016248883438e+14 7.364631575322275747e-01 2.090821188495136651e-01 5.295666684790405476e-01 8.778476006116386898e-01
0.000000000000000000e+00 -1.748506502361312500e+14 9.857891212415902382e-01 3.994522221354377400e-01 5.960003067629674467e-01 7.637949169866765642e-01
0.000000000000000000e+00 -1.746338823923400938e+14 9.802042257316372353e-01 3.796909083755862779e-01 8.454522400386773606e-01 3.885393649412463013e-01
0.000000000000000000e+00 -1.733246476545540625e+14 9.930083872365170761e-01 4.002355354597099124e-01 3.765260844373087279e-01 5.484893006512624458e-01
0.000000000000000000e+00 -1.667957727984748750e+14 7.702311636880811996e-01 2.272292387422429893e-01 5.595807076151304571e-01 3.805323146749960417e-01
0.000000000000000000e+00 -1.616092972058927812e+14 8.973429666225355428e-01 3.470795331067287881e-01 6.670061571920536947e-01 5.717178875136612604e-01
0.000000000000000000e+00 -1.567890659281824688e+14 9.563646253901866290e-01 4.164092368221449236e-01 7.922075252420559544e-01 8.773181539429972808e-01
0.000000000000000000e+00 -1.468001854849364375e+14 7.957944357803594659e-01 2.546958575191651253e-01 4.937631615197346502e-01 1.503989324012650064e-01
0.000000000000000000e+00 -1.404333216207688125e+14 8.609622400261072173e-01 3.667780554932786874e-01 5.763641592617440024e-01 8.074038060367166869e-01
0.000000000000000000e+00 -1.361418306992344375e+14 7.579749722968333048e-01 2.543732081113172505e-01 3.851607833322528984e-01 2.870790259873269301e-01
