weight logl b a g i0
0.000000000000000000e+00 -2.603919177306148438e+14 1.891170188546103859e+00 2.571019876580505326e+01 2.500000000000000000e-01 1.404074803461771381e+01
0.000000000000000000e+00 -2.508356625102268125e+14 1.966313882251705225e+00 2.885531102427214378e+01 2.500000000000000000e-01 1.423589378561894669e+01
0.000000000000000000e+00 -2.388421707528738750e+14 1.717786659816998407e+00 2.182354538119764342e+01 2.500000000000000000e-01 8.736087937052191776e+00
0.000000000000000000e+00 -2.241566145914420312e+14 1.762942857889134629e+00 2.475791794340047147e+01 2.500000000000000000e-01 9.430564967541348764e+00
0.000000000000000000e+00 -2.057578107297321875e+14 1.423478954568006438e+00 1.677218926201640770e+01 2.500000000000000000e-01 1.905897677071524043e+01
0.000000000000000000e+00 -1.919957590616332500e+14 1.926113862153821632e+00 3.639324607370674869e+01 2.500000000000000000e-01 2.450795932637734609e+01
0.000000000000000000e+00 -1.839519286801169688e+14 1.590267696854907209e+00 2.461348100431553121e+01 2.500000000000000000e-01 1.758932382598068500e+01
0.000000000000000000e+00 -1.765568306663425938e+14 1.536696041942665181e+00 2.308787887220039536e+01 2.500000000000000000e-01 1.449750584159022182e+01
0.000000000000000000e+00 -1.756583390943975000e+14 1.313317569831037979e+00 1.584716121534649247e+01 2.500000000000000000e-01 2.390675153050874968e+01
0.000000000000000000e+00 -1.755125016248883438e+14 1.472926315064455149e+00 2.169912976610185140e+01 2.500000000000000000e-01 2.194619001529096636e+01
0.000000000000000000e+00 -1.748506502361312500e+14 1.971578242483180476e+00 4.054576999140833493e+01 2.500000000000000000e-01 1.909487292466691244e+01
0.000000000000000000e+00 -1.746338823923400938e+14 1.960408451463274471e+00 3.858939992918303830e+01 2.500000000000000000e-01 9.713484123531157977e+00
0.000000000000000000e+00 -1.733246476545540625e+14 1.986016774473034152e+00 4.062331801051128366e+01 2.500000000000000000e-01 1.371223251628156170e+01
0.000000000000000000e+00 -1.667957727984748750e+14 1.540462327376162399e+00 2.349569463548205661e+01 2.500000000000000000e-01 9.513307866874901819e+00
0.000000000000000000e+00 -1.616092972058927812e+14 1.794685933245071086e+00 3.536087377756614814e+01 2.500000000000000000e-01 1.429294718784153062e+01
0.000000000000000000e+00 -1.567890659281824688e+14 1.912729250780373258e+00 4.222451444539234444e+01 2.500000000000000000e-01 2.193295384857493246e+01
0.000000000000000000e+00 -1.468001854849364375e+14 1.591588871560718932e+00 2.621488989439734851e+01 2.500000000000000000e-01 3.759973310031625271e+00
0.000000000000000000e+00 -1.404333216207688125e+14 1.721924480052214435e+00 3.731102749383458672e+01 2.500000000000000000e-01 2.018509515091791684e+01
0.000000000000000000e+00 -1.361418306992344375e+14 1.515949944593666610e+00 2.618294760302040913e+01 2.500000000000000000e-01 7.176975649683173586e+00
0.000000000000000000e+00 -1.321130705479636562e+14 1.571776900520479803e+00 2.780596495845481542e+01 2.500000000000000000e-01 3.831217818864843139e+00
0.000000000000000000e+00 -1.310964834267663438e+14 1.912652373764507363e+00 4.415051039993156934e+01 2.500000000000000000e-01 4.341946392194268256e+00
0.000000000000000000e+00 -1.308906614544087812e+14 1.141552905269263896e+00 1.147147219640974214e+01 2.500000000000000000e-01 1.346014188939952660e+01
0.000000000000000000e+00 -1.218741192798509531e+14 1.654893595671170337e+00 3.106171244750828464e+01 2.500000000000000000e-01 1.412704765024816567e+00
0.000000000000000000e+00 -1.195828379193324844e+14 1.514954974930298848e+00 3.114571767341583453e+01 2.500000000000000000e-01 1.482535035359933673e+01
0.000000000000000000e+00 -1.160353076711559688e+14 1.739190358751748766e+00 4.471605852943631731e+01 2.500000000000000000e-01 2.350991344727231080e+01
0.000000000000000000e+00 -1.051319191233272812e+14 1.307251039131660075e+00 2.374995490433246204e+01 2.500000000000000000e-01 1.734843083063583435e+01
0.000000000000000000e+00 -1.017380671134842344e+14 1.822188667257369499e+00 5.006598684004644184e+01 2.500000000000000000e-01 6.913140339372692011e+00
0.000000000000000000e+00 -1.012397497504278281e+14 1.736474727295511444e+00 4.927863982714934821e+01 2.500000000000000000e-01 2.244860557877598595e+01
0.000000000000000000e+00 -1.002633510072982500e+14 1.348209318411887958e+00 2.530967095319962112e+01 2.500000000000000000e-01 9.996620667206698840e+00
0.000000000000000000e+00 -1.002229101887164375e+14 1.258700433661400497e+00 2.222608927426177061e+01 2.500000000000000000e-01 1.862413707010441399e+01
0.000000000000000000e+00 -1.000523240152765156e+14 1.588311021064512829e+00 3.721545898606706970e+01 2.500000000000000000e-01 6.154158241392584827e+00
