logz logzerr logvol nlive logl logwt insert_order
-2.057578107297382500e+14 1.283627599027099414e+13 -8.000000000000002942e-02 4.000000000000000000e+02 -1.919957590616332500e+14 -1.919957590616393125e+14 3.499999999999999778e-01
-1.919957590616393125e+14 6.487493371701767578e+12 -8.250000000000003164e-02 4.000000000000000000e+02 -1.839519286801169688e+14 -1.839519286801230312e+14 1.104999999999999982e+00
-1.839519286801230312e+14 9.139214814309078125e+12 -8.500000000000003386e-02 4.000000000000000000e+02 -1.765568306663425938e+14 -1.765568306663486562e+14 1.159999999999999920e+00
-1.765568306663486562e+14 8.143395246779878906e+12 -8.750000000000003608e-02 4.000000000000000000e+02 -1.756583390943975000e+14 -1.756583390944035938e+14 1.475000000000000089e+00
-1.756583390944035938e+14 3.348480386791646729e+11 -9.000000000000003830e-02 4.000000000000000000e+02 -1.755125016248883438e+14 -1.755125016248944375e+14 6.199999999999999956e-01
-1.755125016248944375e+14 3.732014296463304443e+11 -9.250000000000004052e-02 4.000000000000000000e+02 -1.748506502361312500e+14 -1.748506502361373438e+14 8.249999999999999556e-01
-1.748506502361373438e+14 2.754460283537285767e+11 -9.500000000000004274e-02 4.000000000000000000e+02 -1.746338823923400938e+14 -1.746338823923461875e+14 1.499999999999999944e-02
-1.746338823923461875e+14 2.837755832677764893e+11 -9.750000000000004496e-02 4.000000000000000000e+02 -1.733246476545540625e+14 -1.733246476545601562e+14 1.300000000000000044e+00
-1.733246476545601562e+14 4.879229786992235718e+11 -1.000000000000000472e-01 4.000000000000000000e+02 -1.667957727984748750e+14 -1.667957727984809688e+14 1.284999999999999920e+00
-1.667957727984809688e+14 3.364894241827297852e+12 -1.025000000000000494e-01 4.000000000000000000e+02 -1.616092972058927812e+14 -1.616092972058988750e+14 1.300000000000000044e-01
-1.616092972058988750e+14 4.276544219512838379e+12 -1.050000000000000516e-01 4.000000000000000000e+02 -1.567890659281824688e+14 -1.567890659281885625e+14 4.899999999999999911e-01
-1.567890659281885625e+14 5.026262860531084961e+12 -1.075000000000000538e-01 4.000000000000000000e+02 -1.468001854849364375e+14 -1.468001854849425312e+14 1.719999999999999973e+00
-1.468001854849425312e+14 4.325312109608465332e+12 -1.100000000000000561e-01 4.000000000000000000e+02 -1.404333216207688125e+14 -1.404333216207749219e+14 1.409999999999999920e+00
-1.404333216207749219e+14 4.867910160400444336e+12 -1.125000000000000583e-01 4.000000000000000000e+02 -1.361418306992344375e+14 -1.361418306992405469e+14 1.774999999999999911e+00
-1.361418306992405469e+14 6.224112967407115234e+12 -1.150000000000000605e-01 4.000000000000000000e+02 -1.321130705479636562e+14 -1.321130705479697656e+14 1.399999999999999911e+00
-1.321130705479697656e+14 6.085605966094997070e+12 -1.175000000000000627e-01 4.000000000000000000e+02 -1.310964834267663438e+14 -1.310964834267724531e+14 1.610000000000000098e+00
-1.310964834267724531e+14 5.754016026551456055e+12 -1.200000000000000649e-01 4.000000000000000000e+02 -1.308906614544087812e+14 -1.308906614544148906e+14 9.599999999999999645e-01
-1.308906614544148906e+14 4.382524575612565430e+12 -1.225000000000000672e-01 4.000000000000000000e+02 -1.218741192798509531e+14 -1.218741192798570625e+14 5.150000000000000133e-01
-1.218741192798570625e+14 4.299362018756882812e+12 -1.250000000000000555e-01 4.000000000000000000e+02 -1.195828379193324844e+14 -1.195828379193386094e+14 1.764999999999999902e+00
-1.195828379193386094e+14 4.043193198005130371e+12 -1.275000000000000577e-01 4.000000000000000000e+02 -1.160353076711559688e+14 -1.160353076711620938e+14 1.570000000000000062e+00
-1.160353076711620938e+14 4.245880470419370117e+12 -1.300000000000000600e-01 4.000000000000000000e+02 -1.051319191233272812e+14 -1.051319191233334062e+14 4.249999999999999889e-01
-1.051319191233334062e+14 6.490245782185086914e+12 -1.325000000000000622e-01 4.000000000000000000e+02 -1.017380671134842344e+14 -1.017380671134903594e+14 1.929999999999999938e+00
-1.017380671134903594e+14 7.536276596864557617e+12 -1.350000000000000644e-01 4.000000000000000000e+02 -1.012397497504278281e+14 -1.012397497504339531e+14 5.000000000000000000e-01
-1.012397497504339531e+14 5.012790676546416016e+12 -1.375000000000000666e-01 4.000000000000000000e+02 -1.002633510072982500e+14 -1.002633510073043750e+14 7.049999999999999600e-01
-1.002633510073043750e+14 5.495942434907044678e+11 -1.400000000000000688e-01 4.000000000000000000e+02 -1.002229101887164375e+14 -1.002229101887225625e+14 7.600000000000000089e-01
-1.002229101887225625e+14 4.160763974843492432e+11 -1.425000000000000711e-01 4.000000000000000000e+02 -1.000523240152765156e+14 -1.000523240152826562e+14 3.900000000000000133e-01
